IDRSSD,RCFD0010,RCFD0022,RCFD0070,RCFD0082,RCFD0090,RCON0010,RCON0020,RCON0070,RCON0080,RCON0082,RCON0090,
,CASH AND DUE FROM DEPOSITORIES,CASH & CASH ITEMS IN PROCESS OF COLL,BALANCES WITH BKS IN FGN COUNTRIES,BALANCES DUE FROM DEPOSITORY INSTITU,BALANCES WITH F. R. BKS (COML BK BOO,CASH AND DUE FROM DEPOSITORIES,CASH ITEMS IN PROCESS OF COLLECTION,BALANCES WITH BKS IN FGN COUNTRIES,CURR&COIN (U.S. & FGN) VAULT CASH,BALANCES DUE FROM DEPOSITORY INSTITU,BALANCES WITH F. R. BKS (COML BK BOO,
132107,,,,,,,,,,,,
132451,,,,,,,,,,,,
132778,,,,,,,,,,,,
132938,,,,,,,,,,,,
133579,,,,,,21950,0,0,4249,2638,15063,
133850,,,,,,,,,,,,
133971,,,,,,,,,,,,
134156,,,,,,,,,,,,
134437,,,,,,,,,,,,
134455,,,,,,,,,,,,
134848,,,,,,,,,,,,
135836,,,,,,,,,,,,
135854,,,,,,,,,,,,
136048,,,,,,,,,,,,
136338,,,,,,,,,,,,
136655,,,,,,,,,,,,
137205,,,,,,,,,,,,
137447,,,,,,,,,,,,
137456,,,,,,,,,,,,
137559,,,,,,,,,,,,
137643,,,,,,,,,,,,
137652,,,,,,27624,0,0,439,3742,23443,
137915,,,,,,343098,517,0,382,13322,328877,
138051,,,,,,,,,,,,
138257,,,,,,,,,,,,
138556,,,,,,,,,,,,
139133,,,,,,13620,13,0,1538,8751,3318,
139478,,,,,,,,,,,,
139553,,,,,,,,,,,,
139656,,,,,,247733,29179,0,35907,120178,62469,
139740,,,,,,149819,22805,0,4072,866,122076,
139843,,,,,,97836,19749,0,18092,2165,57830,
140157,,,,,,,,,,,,
140362,,,,,,110576,15789,0,7549,12141,75097,
140634,,,,,,,,,,,,
141350,,,,,,,,,,,,
141556,419375,6268,33,5731,407343,419342,4425,0,1843,5731,407343,
141677,,,,,,,,,,,,
141958,,,,,,,,,,,,
142049,,,,,,,,,,,,
142179,,,,,,,,,,,,
142955,,,,,,,,,,,,
143372,,,,,,,,,,,,
143662,,,,,,2072487,286812,7576,202897,32083,1543119,
143859,,,,,,,,,,,,
143952,,,,,,,,,,,,
144034,,,,,,,,,,,,
144052,,,,,,,,,,,,
144155,,,,,,22738,7297,0,2313,460,12668,
144678,,,,,,,,,,,,
144856,,,,,,,,,,,,
144913,,,,,,,,,,,,
145059,,,,,,,,,,,,
145545,,,,,,,,,,,,
145554,,,,,,,,,,,,
145741,,,,,,,,,,,,
145844,,,,,,,,,,,,
146056,,,,,,,,,,,,
146663,,,,,,,,,,,,
147651,,,,,,,,,,,,
147679,,,,,,,,,,,,
147857,,,,,,3423,1169,0,599,1655,0,
147923,,,,,,,,,,,,
148171,,,,,,,,,,,,
148238,,,,,,,,,,,,
148340,,,,,,,,,,,,
148470,,,,,,,,,,,,
148715,,,,,,,,,,,,
148920,,,,,,,,,,,,
149150,,,,,,,,,,,,
150035,,,,,,29004,14071,0,11916,1237,1780,
150044,,,,,,,,,,,,
150727,,,,,,,,,,,,
151957,,,,,,,,,,,,
152057,,,,,,,,,,,,
152253,,,,,,,,,,,,
152440,,,,,,,,,,,,
153054,,,,,,,,,,,,
153353,,,,,,,,,,,,
154154,,,,,,,,,,,,
154770,,,,,,,,,,,,
155759,,,,,,,,,,,,
156457,,,,,,,,,,,,
156970,,,,,,,,,,,,
157155,,,,,,,,,,,,
157379,,,,,,,,,,,,
157650,,,,,,,,,,,,
157744,,,,,,,,,,,,
157856,,,,,,,,,,,,
158376,,,,,,,,,,,,
158741,,,,,,,,,,,,
159636,,,,,,180207,93,0,17454,47806,114854,
159645,,,,,,,,,,,,
159953,,,,,,,,,,,,
159971,,,,,,,,,,,,
160360,,,,,,,,,,,,
160454,,,,,,,,,,,,
160959,,,,,,42596,10057,0,5371,2147,25021,
161273,,,,,,,,,,,,
161602,,,,,,,,,,,,
162337,,,,,,,,,,,,
163343,,,,,,,,,,,,
163549,,,,,,42102,5,0,7889,24488,9720,
163857,,,,,,,,,,,,
164153,,,,,,,,,,,,
164331,,,,,,,,,,,,
164377,,,,,,,,,,,,
164957,,,,,,,,,,,,
164975,,,,,,,,,,,,
165628,929762,153995,3007,137334,635426,929762,73336,3007,80659,137334,635426,
165758,,,,,,,,,,,,
166111,,,,,,,,,,,,
166531,,,,,,,,,,,,
166652,,,,,,40035,0,0,2303,10568,27164,
166849,,,,,,,,,,,,
167453,,,,,,,,,,,,
167752,,,,,,,,,,,,
168357,,,,,,,,,,,,
168571,,,,,,,,,,,,
169354,,,,,,,,,,,,
169653,,,,,,176919,33218,0,37585,8409,97707,
169756,,,,,,,,,,,,
170257,,,,,,,,,,,,
170275,,,,,,,,,,,,
170332,,,,,,33368,1198,0,3811,165,28194,
171133,44221,798,0,12326,31097,44221,89,0,709,12326,31097,
171656,,,,,,,,,,,,
171759,,,,,,,,,,,,
171768,,,,,,,,,,,,
172251,,,,,,,,,,,,
172457,,,,,,,,,,,,
172475,,,,,,,,,,,,
172859,,,,,,,,,,,,
173306,,,,,,12765,3592,0,1618,2252,5303,
173342,,,,,,,,,,,,
173557,,,,,,,,,,,,
173575,,,,,,12655,6102,0,2544,1121,2888,
173641,,,,,,,,,,,,
173959,,,,,,,,,,,,
174321,,,,,,,,,,,,
174367,,,,,,,,,,,,
174572,,,,,,376095,36320,0,14558,13415,311802,
175056,,,,,,22325,172,0,1638,20233,282,
175140,,,,,,16302,5,0,1729,11500,3068,
175458,,,,,,,,,,,,
175609,,,,,,,,,,,,
176101,,,,,,189662,206,0,5754,2579,181123,
176325,,,,,,2988,0,0,1668,1320,0,
176437,,,,,,,,,,,,
176464,,,,,,,,,,,,
176642,,,,,,,,,,,,
177135,,,,,,,,,,,,
177443,,,,,,,,,,,,
177500,,,,,,,,,,,,
177555,,,,,,,,,,,,
177751,,,,,,,,,,,,
177920,,,,,,49585,9808,0,6188,11834,21755,
178150,,,,,,,,,,,,
178244,,,,,,,,,,,,
178356,,,,,,,,,,,,
178851,,,,,,,,,,,,
179148,,,,,,,,,,,,
179335,,,,,,,,,,,,
179700,,,,,,18127,4680,0,1664,2220,9563,
180144,,,,,,,,,,,,
180537,,,,,,,,,,,,
180845,,,,,,,,,,,,
181963,,,,,,,,,,,,
182951,,,,,,,,,,,,
183668,,,,,,,,,,,,
183770,,,,,,,,,,,,
183958,,,,,,,,,,,,
184656,,,,,,,,,,,,
184759,,,,,,,,,,,,
185251,,,,,,,,,,,,
185448,,,,,,,,,,,,
185859,,,,,,,,,,,,
186221,,,,,,88989,2,0,6330,6309,76348,
186548,,,,,,,,,,,,
186717,,,,,,,,,,,,
186744,,,,,,,,,,,,
187648,,,,,,,,,,,,
187947,,,,,,43969,10778,0,5178,1758,26255,
188056,,,,,,,,,,,,
188177,,,,,,,,,,,,
188430,,,,,,44914,418,0,187,8338,35971,
188449,,,,,,27565,0,0,0,27565,0,
188720,,,,,,,,,,,,
188739,,,,,,,,,,,,
188917,,,,,,,,,,,,
189129,,,,,,,,,,,,
189950,,,,,,,,,,,,
190563,,,,,,,,,,,,
190648,,,,,,,,,,,,
190947,,,,,,,,,,,,
190956,,,,,,,,,,,,
191355,,,,,,20152,0,0,1777,1993,16382,
191935,,,,,,,,,,,,
192147,,,,,,70943,0,0,7197,3883,59863,
192558,,,,,,23568,2438,0,3585,2902,14643,
192651,,,,,,,,,,,,
192857,,,,,,,,,,,,
193162,,,,,,,,,,,,
193537,,,,,,,,,,,,
193649,,,,,,,,,,,,
193809,,,,,,16641,7800,0,3304,600,4937,
194440,,,,,,,,,,,,
194570,,,,,,,,,,,,
194936,,,,,,,,,,,,
195111,,,,,,,,,,,,
195157,,,,,,,,,,,,
195456,,,,,,,,,,,,
196752,,,,,,,,,,,,
196800,,,,,,30350,7883,0,5736,2943,13788,
197142,,,,,,,,,,,,
197254,,,,,,,,,,,,
197302,,,,,,,,,,,,
197478,4381143,290778,1261676,41992,2786697,3240544,163779,121077,126999,41992,2786697,
197759,,,,,,,,,,,,
198073,,,,,,,,,,,,
198149,,,,,,,,,,,,
198251,,,,,,,,,,,,
198961,,,,,,,,,,,,
199137,,,,,,,,,,,,
199351,,,,,,,,,,,,
199436,,,,,,,,,,,,
199463,,,,,,,,,,,,
200435,,,,,,328595,0,0,14319,2844,311432,
201254,,,,,,,,,,,,
201834,,,,,,139530,2398,0,3989,8538,124605,
202514,,,,,,,,,,,,
202541,,,,,,,,,,,,
202907,,,,,,181741,94319,1169,70983,4649,10621,
